"┌───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Modelo: simple2NN  |  dataset: MNIST(4000/1000) | data_augmentation: no | noise: 0.1 | batch_size: 256 | learning_rate: 5e-3  │
└───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epoch,train_loss,train_accuracy,train_error
1.0,1000.0,1.756196029484272,0.315,0.685
2.0,1000.0,1.7505731359124184,0.31675,0.68325
3.0,1000.0,0.9362016692757608,0.745,0.255
4.0,1000.0,1.2613934129476547,0.58925,0.2107499999999999
5.0,1000.0,0.6570709757506847,0.83,0.17
6.0,1000.0,0.3104281295090914,0.9175,0.0825
7.0,1000.0,0.5001752562820911,0.87375,0.0902499999999999
8.0,1000.0,0.1542117437347769,0.957,0.043
9.0,1000.0,0.1071240927558392,0.9645,0.0354999999999999
10.0,1000.0,0.0332798336748965,0.99175,0.0082499999999999
11.0,1000.0,0.050699180457741,0.99125,0.00875
12.0,1000.0,0.0530537936137989,0.99025,0.00975
13.0,1000.0,0.0023972573180799,0.99975,0.0002499999999999
14.0,1000.0,0.0030515941325575,1.0,0.0
15.0,1000.0,0.0037268441083142,0.9995,0.0004999999999999
16.0,1000.0,0.0020535412804747,0.9995,0.0004999999999999
17.0,1000.0,0.0085567507485393,0.99825,0.00175
18.0,1000.0,0.0010583014336589,1.0,0.0
19.0,1000.0,0.0006799793627578,1.0,0.0
20.0,1000.0,0.025018944608746,0.992,0.008
21.0,1000.0,0.0009459402972424,1.0,0.0
22.0,1000.0,3.9478072835663625e-05,1.0,0.0
23.0,1000.0,7.705548500780424e-05,1.0,0.0
24.0,1000.0,5.376033200832353e-06,1.0,0.0
25.0,1000.0,2.5343345214423607e-05,1.0,0.0
26.0,1000.0,4.0984536326504895e-05,1.0,0.0
27.0,1000.0,0.0002162114697057,1.0,0.0
28.0,1000.0,4.7084708285183297e-05,1.0,0.0
29.0,1000.0,3.4673558531039816e-06,1.0,0.0
30.0,1000.0,2.373885990891722e-05,1.0,0.0
31.0,1000.0,1.3447461277849015e-06,1.0,0.0
32.0,1000.0,5.795976534272995e-06,1.0,0.0
33.0,1000.0,1.745110047579601e-06,1.0,0.0
34.0,1000.0,5.719842050666557e-06,1.0,0.0
35.0,1000.0,0.0004398230830702,1.0,0.0
36.0,1000.0,1.2998188090307394e-06,1.0,0.0
37.0,1000.0,8.845791796829872e-07,1.0,0.0
38.0,1000.0,4.2643453745938587e-07,1.0,0.0
39.0,1000.0,5.56615503910507e-07,1.0,0.0
40.0,1000.0,7.44782500561314e-07,1.0,0.0
41.0,1000.0,5.312674898050318e-05,1.0,0.0
42.0,1000.0,8.40507163957227e-06,1.0,0.0
43.0,1000.0,5.615224640820315e-07,1.0,0.0
44.0,1000.0,6.097938030080741e-07,1.0,0.0
45.0,1000.0,3.064688911535996e-07,1.0,0.0
46.0,1000.0,0.0001700383745628,1.0,0.0
47.0,1000.0,0.0002234412804682,1.0,0.0
48.0,1000.0,7.923199127901626e-07,1.0,0.0
49.0,1000.0,2.9986233851531097e-07,1.0,0.0
50.0,1000.0,4.410735510163022e-07,1.0,0.0
51.0,1000.0,5.348691605178146e-07,1.0,0.0
52.0,1000.0,2.8111945749031975e-07,1.0,0.0
53.0,1000.0,1.283456032297181e-05,1.0,0.0
54.0,1000.0,2.254264579448773e-07,1.0,0.0
55.0,1000.0,5.023021767414093e-07,1.0,0.0
56.0,1000.0,4.2115506104778433e-07,1.0,0.0
57.0,1000.0,2.062353683385254e-07,1.0,0.0
58.0,1000.0,2.2400619226203847e-07,1.0,0.0
59.0,1000.0,3.468241320803145e-07,1.0,0.0
60.0,1000.0,2.0592691907239669e-07,1.0,0.0
61.0,1000.0,1.9792920014083398e-07,1.0,0.0
62.0,1000.0,2.9389600353368905e-07,1.0,0.0
63.0,1000.0,3.6124207447585377e-07,1.0,0.0
64.0,1000.0,3.8832007298594817e-07,1.0,0.0
65.0,1000.0,1.727951719487919e-07,1.0,0.0
66.0,1000.0,3.0062482725412565e-07,1.0,0.0
67.0,1000.0,3.038960461054785e-07,1.0,0.0
68.0,1000.0,2.629470667869782e-07,1.0,0.0
69.0,1000.0,2.825396210326403e-07,1.0,0.0
70.0,1000.0,1.880979008106465e-07,1.0,0.0
71.0,1000.0,2.1278372841493365e-07,1.0,0.0
72.0,1000.0,2.4705630519150645e-07,1.0,0.0
73.0,1000.0,2.804965850700114e-07,1.0,0.0
74.0,1000.0,1.8986737959636457e-07,1.0,0.0
75.0,1000.0,1.566425407162342e-07,1.0,0.0
76.0,1000.0,2.668702556718472e-07,1.0,0.0
77.0,1000.0,3.025921770927198e-07,1.0,0.0
78.0,1000.0,2.535639804790435e-07,1.0,0.0
79.0,1000.0,2.529178813048816e-07,1.0,0.0
80.0,1000.0,2.01107257069566e-07,1.0,0.0
81.0,1000.0,3.177726188852148e-07,1.0,0.0
82.0,1000.0,5.049039621951579e-07,1.0,0.0
83.0,1000.0,2.5131128023048177e-07,1.0,0.0
84.0,1000.0,1.5411050657831993e-07,1.0,0.0
85.0,1000.0,1.463165362203256e-07,1.0,0.0
86.0,1000.0,2.566955075167243e-07,1.0,0.0
87.0,1000.0,2.407932475634311e-07,1.0,0.0
88.0,1000.0,1.4344104881658384e-07,1.0,0.0
89.0,1000.0,2.3388392733636465e-07,1.0,0.0
90.0,1000.0,2.2884905526154853e-07,1.0,0.0
91.0,1000.0,2.3263835657871826e-07,1.0,0.0
92.0,1000.0,1.3423261968625866e-07,1.0,0.0
93.0,1000.0,1.2479716282598474e-07,1.0,0.0
94.0,1000.0,2.554032656476579e-07,1.0,0.0
95.0,1000.0,1.3299863210747276e-07,1.0,0.0
96.0,1000.0,1.326260967715598e-07,1.0,0.0
97.0,1000.0,1.719802265043313e-07,1.0,0.0
98.0,1000.0,1.956939961189619e-07,1.0,0.0
99.0,1000.0,1.8535632140270766e-07,1.0,0.0
100.0,1000.0,1.6922121481854904e-07,1.0,0.0
