"┌─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Modelo: 2NN  |  dataset: MNIST(4000/1000) | data_augmentation: no | noise: 0.1 | batch_size: 256 | learning_rate: default | epochs: 1000  │
└─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epoch,train_loss,train_accuracy,train_error
1,1000,1.765303999185562,0.30825,0.69175
2,1000,1.2678522318601608,0.6485,0.3515
3,1000,0.9540116004645824,0.75325,0.24675
4,1000,0.9337928369641304,0.7615,0.2385
5,1000,0.7090478464961052,0.82575,0.17425
6,1000,0.4212621599435806,0.89525,0.10475
7,1000,0.3394050877541303,0.9195,0.0805
8,1000,0.3933273497968912,0.902,0.0979999999999999
9,1000,0.215583155862987,0.95225,0.0477499999999999
10,1000,0.0724350372329354,0.99125,0.00875
11,1000,0.0491973212920129,0.99375,0.0062499999999999
12,1000,0.0191020016791299,0.99825,0.00175
13,1000,0.0030096881382633,1.0,0.0
14,1000,0.0042417447111802,1.0,0.0
15,1000,0.0023398277480737,1.0,0.0
16,1000,0.0757323713041842,0.975,0.025
17,1000,0.0006416516371245,1.0,0.0
18,1000,0.0004154055768594,1.0,0.0
19,1000,0.000117880338621,1.0,0.0
20,1000,0.0004346175974205,1.0,0.0
21,1000,0.0002640879465616,1.0,0.0
22,1000,7.159903543652035e-05,1.0,0.0
23,1000,0.0002581369872132,1.0,0.0
24,1000,0.0003092729466516,1.0,0.0
25,1000,3.569388354662806e-05,1.0,0.0
26,1000,7.979279712344578e-05,1.0,0.0
27,1000,0.0002556948675191,1.0,0.0
28,1000,0.0002260816154375,1.0,0.0
29,1000,9.51864124090207e-05,1.0,0.0
30,1000,8.396363909923821e-05,1.0,0.0
31,1000,0.000214052537558,1.0,0.0
32,1000,1.1786620802922698e-05,1.0,0.0
33,1000,0.0001115491349992,1.0,0.0
34,1000,0.0001629903244975,1.0,0.0
35,1000,0.0001104958626001,1.0,0.0
36,1000,1.2189571350518236e-05,1.0,0.0
37,1000,0.0001914591048262,1.0,0.0
38,1000,4.885723637926276e-05,1.0,0.0
39,1000,1.0868906770156173e-05,1.0,0.0
40,1000,4.62487296317704e-05,1.0,0.0
41,1000,6.606323722735397e-06,1.0,0.0
42,1000,9.02993303952826e-06,1.0,0.0
43,1000,0.0001354313085357,1.0,0.0
44,1000,6.562377109275985e-06,1.0,0.0
45,1000,6.136652217492156e-06,1.0,0.0
46,1000,5.197402103362947e-06,1.0,0.0
47,1000,5.731513141427058e-06,1.0,0.0
48,1000,5.345521913113771e-06,1.0,0.0
49,1000,4.852624641671355e-06,1.0,0.0
50,1000,4.588160066987257e-06,1.0,0.0
51,1000,4.647330035822961e-05,1.0,0.0
52,1000,4.427167425546941e-06,1.0,0.0
53,1000,5.221822533485465e-06,1.0,0.0
54,1000,4.435594337337534e-05,1.0,0.0
55,1000,3.4379006166318504e-06,1.0,0.0
56,1000,3.344726678733423e-06,1.0,0.0
57,1000,3.5582468029815573e-06,1.0,0.0
58,1000,3.269102080594166e-06,1.0,0.0
59,1000,3.0828408483785097e-06,1.0,0.0
60,1000,3.2962648930379146e-06,1.0,0.0
61,1000,1.7877258869702928e-05,1.0,0.0
62,1000,3.6885287045151927e-05,1.0,0.0
63,1000,2.942684702134102e-06,1.0,0.0
64,1000,3.3947563451874885e-05,1.0,0.0
65,1000,2.038041316154704e-05,1.0,0.0
66,1000,2.960856548384072e-06,1.0,0.0
67,1000,2.3086246585535264e-06,1.0,0.0
68,1000,2.5108826520181537e-06,1.0,0.0
69,1000,3.152292083541397e-05,1.0,0.0
70,1000,2.4925643700157707e-06,1.0,0.0
71,1000,2.4577935491265634e-06,1.0,0.0
72,1000,2.224578032894442e-06,1.0,0.0
73,1000,2.2406738011682137e-06,1.0,0.0
74,1000,2.567941201903068e-06,1.0,0.0
75,1000,2.294170208472224e-06,1.0,0.0
76,1000,9.051169655549527e-06,1.0,0.0
77,1000,2.343773346069611e-06,1.0,0.0
78,1000,2.472390434604677e-06,1.0,0.0
79,1000,1.8973986826154032e-06,1.0,0.0
80,1000,2.192168444992149e-06,1.0,0.0
81,1000,2.253937097407288e-06,1.0,0.0
82,1000,1.8563797965498448e-06,1.0,0.0
83,1000,1.7519194983606212e-06,1.0,0.0
84,1000,2.133897496037207e-06,1.0,0.0
85,1000,2.5452130103076342e-05,1.0,0.0
86,1000,1.5472589112164314e-06,1.0,0.0
87,1000,1.785756133187988e-06,1.0,0.0
88,1000,1.8700867840948376e-06,1.0,0.0
89,1000,1.594304009699954e-06,1.0,0.0
90,1000,1.6544945466989702e-06,1.0,0.0
91,1000,1.5963946964347997e-06,1.0,0.0
92,1000,4.170055149188556e-05,1.0,0.0
93,1000,1.6928675279359595e-06,1.0,0.0
94,1000,1.5779045838826278e-06,1.0,0.0
95,1000,2.5977551672440317e-05,1.0,0.0
96,1000,1.48737450444969e-05,1.0,0.0
97,1000,1.461522984413932e-06,1.0,0.0
98,1000,1.4410027091571465e-06,1.0,0.0
99,1000,1.6644026956669222e-06,1.0,0.0
100,1000,1.4665967000837554e-06,1.0,0.0
