"┌─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Modelo: 2NN  |  dataset: MNIST(4000/1000) | data_augmentation: no | noise: 0 | batch_size: 256 | learning_rate: default | epochs: 1000  │
└─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epoch,train_loss,train_accuracy,train_error
1.0,1000.0,1.496198482811451,0.37375,0.62625
2.0,1000.0,0.7353271469473839,0.76675,0.2332499999999999
3.0,1000.0,0.4154358506202698,0.8665,0.1334999999999999
4.0,1000.0,0.3080762196332216,0.90075,0.0992499999999999
5.0,1000.0,0.1057551577687263,0.9725,0.0274999999999999
6.0,1000.0,0.0003294746620667,1.0,0.0
7.0,1000.0,4.4926124701305525e-05,1.0,0.0
8.0,1000.0,0.0005158853109605,1.0,0.0
9.0,1000.0,1.4654136975877918e-05,1.0,0.0
10.0,1000.0,6.474239455656061e-06,1.0,0.0
11.0,1000.0,4.5498922531805874e-06,1.0,0.0
12.0,1000.0,4.218003866185427e-06,1.0,0.0
13.0,1000.0,2.560630264270003e-06,1.0,0.0
14.0,1000.0,2.386494010409024e-06,1.0,0.0
15.0,1000.0,1.2153937021253114e-06,1.0,0.0
16.0,1000.0,1.4334487872247337e-06,1.0,0.0
17.0,1000.0,1.1892183664485856e-06,1.0,0.0
18.0,1000.0,1.1034908418139366e-06,1.0,0.0
19.0,1000.0,9.693404763311264e-07,1.0,0.0
20.0,1000.0,9.41197171755448e-07,1.0,0.0
21.0,1000.0,1.4083329702430092e-06,1.0,0.0
22.0,1000.0,8.743636605856864e-07,1.0,0.0
23.0,1000.0,7.667790384857653e-07,1.0,0.0
24.0,1000.0,8.348816322722996e-07,1.0,0.0
25.0,1000.0,7.379664630491334e-07,1.0,0.0
26.0,1000.0,6.503643383837243e-07,1.0,0.0
27.0,1000.0,7.078325658937956e-07,1.0,0.0
28.0,1000.0,6.47075587778545e-07,1.0,0.0
29.0,1000.0,6.73542594142873e-07,1.0,0.0
30.0,1000.0,5.659345134745308e-07,1.0,0.0
31.0,1000.0,5.062311778658568e-07,1.0,0.0
32.0,1000.0,4.257651511352378e-07,1.0,0.0
33.0,1000.0,4.6091667194048114e-07,1.0,0.0
34.0,1000.0,4.48233267391629e-07,1.0,0.0
35.0,1000.0,4.913184241672752e-07,1.0,0.0
36.0,1000.0,4.760855283336696e-07,1.0,0.0
37.0,1000.0,4.888212856712926e-07,1.0,0.0
38.0,1000.0,4.190305364915048e-07,1.0,0.0
39.0,1000.0,3.88349397084653e-07,1.0,0.0
40.0,1000.0,3.405668458356104e-07,1.0,0.0
41.0,1000.0,3.4905346257829706e-07,1.0,0.0
42.0,1000.0,3.737160341188428e-07,1.0,0.0
43.0,1000.0,3.577554856804e-07,1.0,0.0
44.0,1000.0,3.312419725176597e-07,1.0,0.0
45.0,1000.0,3.568823903066232e-07,1.0,0.0
46.0,1000.0,3.1323839966290734e-07,1.0,0.0
47.0,1000.0,2.891288204409648e-07,1.0,0.0
48.0,1000.0,3.199730063130346e-07,1.0,0.0
49.0,1000.0,3.153862637716998e-07,1.0,0.0
50.0,1000.0,3.410324893593497e-07,1.0,0.0
51.0,1000.0,2.863115895479496e-07,1.0,0.0
52.0,1000.0,2.7422770099150284e-07,1.0,0.0
53.0,1000.0,2.647398584798566e-07,1.0,0.0
54.0,1000.0,2.304556003807079e-07,1.0,0.0
55.0,1000.0,2.7655600298714944e-07,1.0,0.0
56.0,1000.0,2.7547914172032506e-07,1.0,0.0
57.0,1000.0,2.503567735345769e-07,1.0,0.0
58.0,1000.0,2.76590915504471e-07,1.0,0.0
59.0,1000.0,2.288781866255363e-07,1.0,0.0
60.0,1000.0,2.624581236787549e-07,1.0,0.0
61.0,1000.0,2.387909274759181e-07,1.0,0.0
62.0,1000.0,2.0276626333526337e-07,1.0,0.0
63.0,1000.0,2.349957863856389e-07,1.0,0.0
64.0,1000.0,2.027837160412105e-07,1.0,0.0
65.0,1000.0,2.240760634819594e-07,1.0,0.0
66.0,1000.0,2.281389441805004e-07,1.0,0.0
67.0,1000.0,2.0124704569468577e-07,1.0,0.0
68.0,1000.0,2.0426219204949805e-07,1.0,0.0
69.0,1000.0,2.012179400878722e-07,1.0,0.0
70.0,1000.0,1.9155548525162658e-07,1.0,0.0
71.0,1000.0,1.879466102749916e-07,1.0,0.0
72.0,1000.0,2.290877239019551e-07,1.0,0.0
73.0,1000.0,1.762236037095022e-07,1.0,0.0
74.0,1000.0,2.176790463437328e-07,1.0,0.0
75.0,1000.0,2.034531121353212e-07,1.0,0.0
76.0,1000.0,1.8041455529527187e-07,1.0,0.0
77.0,1000.0,1.973413228384402e-07,1.0,0.0
78.0,1000.0,1.9273709650491358e-07,1.0,0.0
79.0,1000.0,1.9033313236604957e-07,1.0,0.0
80.0,1000.0,1.7384873718384597e-07,1.0,0.0
81.0,1000.0,1.8327836759368665e-07,1.0,0.0
82.0,1000.0,1.738836603593086e-07,1.0,0.0
83.0,1000.0,1.8815616176226518e-07,1.0,0.0
84.0,1000.0,1.727660738914949e-07,1.0,0.0
85.0,1000.0,1.746869262575501e-07,1.0,0.0
86.0,1000.0,1.577135879671232e-07,1.0,0.0
87.0,1000.0,1.4743412135587167e-07,1.0,0.0
88.0,1000.0,1.788429386806456e-07,1.0,0.0
89.0,1000.0,1.54180382239133e-07,1.0,0.0
90.0,1000.0,1.5769030392576158e-07,1.0,0.0
91.0,1000.0,1.6412224734807526e-07,1.0,0.0
92.0,1000.0,1.587031164262953e-07,1.0,0.0
93.0,1000.0,1.604668056209846e-07,1.0,0.0
94.0,1000.0,1.459498331080056e-07,1.0,0.0
95.0,1000.0,1.4835380524047537e-07,1.0,0.0
96.0,1000.0,1.598730916541058e-07,1.0,0.0
97.0,1000.0,1.32579542455602e-07,1.0,0.0
98.0,1000.0,1.4931423120145837e-07,1.0,0.0
99.0,1000.0,1.576495627375607e-07,1.0,0.0
