"┌─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Modelo: 2NN  |  dataset: MNIST(4000/1000) | data_augmentation: no | noise: 0.1 | batch_size: 256 | learning_rate: default | epochs: 1000  │
└─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

subset,units,epoch,train_loss,train_accuracy,train_error
subset_1,1.0,1000.0,1.765303999185562,0.30825,0.69175
subset_1,2.0,1000.0,1.2678522318601608,0.6485,0.35150000000000003
subset_1,3.0,1000.0,0.9540116004645824,0.75325,0.24675000000000002
subset_1,4.0,1000.0,0.9337928369641304,0.7615,0.23850000000000005
subset_1,5.0,1000.0,0.7090478464961052,0.82575,0.17425000000000002
subset_1,6.0,1000.0,0.4212621599435806,0.89525,0.10475000000000001
subset_1,7.0,1000.0,0.3394050877541303,0.9195,0.08050000000000002
subset_1,8.0,1000.0,0.3933273497968912,0.902,0.09799999999999998
subset_1,9.0,1000.0,0.215583155862987,0.95225,0.04774999999999996
subset_1,10.0,1000.0,0.0724350372329354,0.99125,0.008750000000000036
subset_1,11.0,1000.0,0.0491973212920129,0.99375,0.006249999999999978
subset_1,12.0,1000.0,0.0191020016791299,0.99825,0.0017500000000000293
subset_1,13.0,1000.0,0.0030096881382633,1.0,0.0
subset_1,14.0,1000.0,0.0042417447111802,1.0,0.0
subset_1,15.0,1000.0,0.0023398277480737,1.0,0.0
subset_1,16.0,1000.0,0.0757323713041842,0.975,0.025000000000000022
subset_1,17.0,1000.0,0.0006416516371245,1.0,0.0
subset_1,18.0,1000.0,0.0004154055768594,1.0,0.0
subset_1,19.0,1000.0,0.000117880338621,1.0,0.0
subset_1,20.0,1000.0,0.0004346175974205,1.0,0.0
subset_1,21.0,1000.0,0.0002640879465616,1.0,0.0
subset_1,22.0,1000.0,7.159903543652035e-05,1.0,0.0
subset_1,23.0,1000.0,0.0002581369872132,1.0,0.0
subset_1,24.0,1000.0,0.0003092729466516,1.0,0.0
subset_1,25.0,1000.0,3.569388354662806e-05,1.0,0.0
subset_1,26.0,1000.0,7.979279712344578e-05,1.0,0.0
subset_1,27.0,1000.0,0.0002556948675191,1.0,0.0
subset_1,28.0,1000.0,0.0002260816154375,1.0,0.0
subset_1,29.0,1000.0,9.51864124090207e-05,1.0,0.0
subset_1,30.0,1000.0,8.396363909923821e-05,1.0,0.0
subset_1,31.0,1000.0,0.000214052537558,1.0,0.0
subset_1,32.0,1000.0,1.1786620802922698e-05,1.0,0.0
subset_1,33.0,1000.0,0.0001115491349992,1.0,0.0
subset_1,34.0,1000.0,0.0001629903244975,1.0,0.0
subset_1,35.0,1000.0,0.0001104958626001,1.0,0.0
subset_1,36.0,1000.0,1.2189571350518236e-05,1.0,0.0
subset_1,37.0,1000.0,0.0001914591048262,1.0,0.0
subset_1,38.0,1000.0,4.885723637926276e-05,1.0,0.0
subset_1,39.0,1000.0,1.0868906770156173e-05,1.0,0.0
subset_1,40.0,1000.0,4.62487296317704e-05,1.0,0.0
subset_1,41.0,1000.0,6.606323722735397e-06,1.0,0.0
subset_1,42.0,1000.0,9.02993303952826e-06,1.0,0.0
subset_1,43.0,1000.0,0.0001354313085357,1.0,0.0
subset_1,44.0,1000.0,6.562377109275985e-06,1.0,0.0
subset_1,45.0,1000.0,6.136652217492156e-06,1.0,0.0
subset_1,46.0,1000.0,5.197402103362947e-06,1.0,0.0
subset_1,47.0,1000.0,5.731513141427058e-06,1.0,0.0
subset_1,48.0,1000.0,5.345521913113771e-06,1.0,0.0
subset_1,49.0,1000.0,4.852624641671355e-06,1.0,0.0
subset_1,50.0,1000.0,4.588160066987257e-06,1.0,0.0
subset_1,60.0,1000.0,3.921435506981652e-05,1.0,0.0
subset_1,70.0,1000.0,2.3496980929849087e-06,1.0,0.0
subset_1,80.0,1000.0,2.4845952566465712e-05,1.0,0.0
subset_1,90.0,1000.0,1.6788213201834878e-06,1.0,0.0
subset_1,100.0,1000.0,6.842996583600325e-06,1.0,0.0
subset_1,110.0,1000.0,3.567189395425885e-06,1.0,0.0
subset_1,120.0,1000.0,1.262080772335139e-06,1.0,0.0
subset_1,130.0,1000.0,2.229500339012702e-06,1.0,0.0
subset_1,140.0,1000.0,4.416039203647415e-06,1.0,0.0
