"┌─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Model: ThreeLayerCNN  |  dataset: CIFAR100(25000/5000) | data_augmentation: False | noise: 0.2 | batch_size: 256 | learning_rate: 0.001 | epochs: 100  │
└─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
1,1,4.749465,0.00932,0.99068
1,2,4.644459,0.00936,0.99064
1,3,4.624156,0.00884,0.99116
1,4,4.61139,0.0092,0.9908
1,5,4.601744,0.01044,0.98956
1,6,4.59205,0.01412,0.98588
1,7,4.581496,0.01932,0.98068
1,8,4.569884,0.01984,0.98016
1,9,4.556094,0.02592,0.9740800000000001
1,10,4.54085,0.02732,0.97268
1,11,4.520956,0.02652,0.97348
1,12,4.50087,0.02792,0.97208
1,13,4.479477,0.0294,0.9706
1,14,4.460107,0.02968,0.97032
1,15,4.444143,0.03204,0.96796
1,16,4.429724,0.03232,0.96768
1,17,4.417187,0.0336,0.9664
1,18,4.405489,0.0354,0.9646
1,19,4.397087,0.03632,0.96368
1,20,4.388235,0.03748,0.96252
1,21,4.379121,0.03716,0.96284
1,22,4.370173,0.03872,0.96128
1,23,4.36264,0.0412,0.9588
1,24,4.355375,0.04204,0.95796
1,25,4.348676,0.04356,0.95644
1,26,4.343338,0.0462,0.9538
1,27,4.338117,0.0448,0.9552
1,28,4.332201,0.047,0.953
1,29,4.330077,0.04776,0.95224
1,30,4.325896,0.04868,0.9513199999999999
1,31,4.323324,0.04804,0.95196
1,32,4.320161,0.04944,0.95056
1,33,4.316876,0.04956,0.95044
1,34,4.315216,0.0498,0.9502
1,35,4.312996,0.05208,0.94792
1,36,4.312122,0.0526,0.9474
1,37,4.30911,0.05224,0.94776
1,38,4.307458,0.0526,0.9474
1,39,4.306101,0.0522,0.9478
1,40,4.304947,0.05316,0.94684
1,41,4.303525,0.05364,0.94636
1,42,4.302062,0.0538,0.9462
1,43,4.300525,0.0556,0.9444
1,44,4.300561,0.05404,0.94596
1,45,4.298365,0.0552,0.9448
1,46,4.296493,0.0554,0.9446
1,47,4.295745,0.05632,0.94368
1,48,4.294642,0.05692,0.94308
1,49,4.294691,0.05724,0.94276
1,50,4.292772,0.05644,0.94356
1,51,4.291504,0.05568,0.94432
1,52,4.289924,0.05672,0.94328
1,53,4.290685,0.05616,0.94384
1,54,4.288416,0.05652,0.94348
1,55,4.289443,0.0556,0.9444
1,56,4.286036,0.05684,0.94316
1,57,4.286903,0.0582,0.9418
1,58,4.284775,0.05808,0.94192
1,59,4.283342,0.05776,0.94224
1,60,4.284612,0.059,0.9410000000000001
1,61,4.281735,0.05772,0.94228
1,62,4.281378,0.05876,0.94124
1,63,4.27991,0.05788,0.94212
1,64,4.281147,0.05796,0.94204
1,65,4.278085,0.05912,0.94088
1,66,4.278011,0.05976,0.94024
1,67,4.278188,0.058,0.942
1,68,4.27621,0.05924,0.94076
1,69,4.274975,0.06084,0.93916
1,70,4.275074,0.0586,0.9414
1,71,4.275084,0.05924,0.94076
1,72,4.274413,0.06052,0.93948
1,73,4.272778,0.06032,0.93968
1,74,4.272834,0.06152,0.93848
1,75,4.271847,0.06256,0.93744
1,76,4.270704,0.0612,0.9388
1,77,4.270867,0.06088,0.93912
1,78,4.269826,0.05996,0.94004
1,79,4.268812,0.06092,0.93908
1,80,4.269072,0.06076,0.93924
1,81,4.267625,0.06012,0.93988
1,82,4.268567,0.06056,0.93944
1,83,4.266496,0.05944,0.94056
1,84,4.266214,0.0614,0.9386
1,85,4.265339,0.06036,0.93964
1,86,4.265873,0.06128,0.93872
1,87,4.266481,0.05936,0.94064
1,88,4.263814,0.06088,0.93912
1,89,4.263402,0.06008,0.93992
