"┌──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Model: ThreeLayerCNN  |  dataset: CIFAR100(50000/10000) | data_augmentation: False | noise: 0.2 | batch_size: 128 | learning_rate: 0.001 | epochs: 100  │
└──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
1,1,4.775953,0.01002,0.98998
1,2,4.614169,0.01302,0.98698
1,3,4.557883,0.0208,0.9792
1,4,4.506268,0.02226,0.97774
1,5,4.462126,0.02318,0.97682
1,6,4.429023,0.02224,0.97776
1,7,4.407651,0.02546,0.97454
1,8,4.391254,0.02864,0.97136
1,9,4.376888,0.03274,0.96726
1,10,4.36396,0.035,0.965
1,11,4.353946,0.03844,0.96156
1,12,4.344462,0.0408,0.9592
1,13,4.335771,0.04238,0.95762
1,14,4.328847,0.04396,0.95604
1,15,4.322795,0.04622,0.95378
1,16,4.314808,0.04718,0.95282
1,17,4.31048,0.04872,0.95128
1,18,4.306358,0.0489,0.9511000000000001
1,19,4.301248,0.04882,0.95118
1,20,4.298456,0.05146,0.94854
1,21,4.29459,0.05266,0.94734
1,22,4.291434,0.05302,0.94698
1,23,4.289902,0.05312,0.9468799999999999
1,24,4.287824,0.05296,0.94704
1,25,4.28384,0.0547,0.9453
1,26,4.281775,0.05516,0.94484
1,27,4.280819,0.05578,0.94422
1,28,4.278699,0.05596,0.94404
1,29,4.277823,0.05666,0.94334
1,30,4.276635,0.05632,0.94368
1,31,4.274665,0.05642,0.94358
1,32,4.273252,0.05676,0.94324
1,33,4.271391,0.05674,0.94326
1,34,4.268714,0.05852,0.94148
1,35,4.26825,0.05882,0.94118
1,36,4.26814,0.0587,0.9413
1,37,4.265393,0.05918,0.94082
1,38,4.265349,0.05796,0.94204
1,39,4.264856,0.059,0.9410000000000001
1,40,4.260274,0.06086,0.93914
1,41,4.260988,0.06036,0.93964
1,42,4.260319,0.05966,0.94034
1,43,4.258484,0.061,0.9390000000000001
1,44,4.257674,0.06168,0.93832
1,45,4.25788,0.06096,0.93904
1,46,4.255829,0.06228,0.93772
1,47,4.255968,0.06296,0.93704
1,48,4.253652,0.06188,0.93812
1,49,4.252906,0.063,0.937
1,50,4.252115,0.06084,0.93916
1,51,4.251177,0.06362,0.93638
1,52,4.251428,0.06238,0.93762
1,53,4.250337,0.06324,0.93676
1,54,4.24937,0.06264,0.93736
1,55,4.248137,0.06336,0.93664
1,56,4.248048,0.06316,0.93684
1,57,4.247088,0.06372,0.93628
1,58,4.245824,0.06388,0.93612
1,59,4.244385,0.0628,0.9372
1,60,4.245496,0.06336,0.93664
1,61,4.243597,0.06404,0.93596
1,62,4.242582,0.06352,0.93648
1,63,4.242053,0.06374,0.93626
1,64,4.239367,0.06336,0.93664
1,65,4.239672,0.06366,0.93634
1,66,4.239435,0.06454,0.93546
1,67,4.238731,0.06454,0.93546
1,68,4.238179,0.06456,0.93544
1,69,4.236959,0.06474,0.93526
1,70,4.236472,0.06498,0.93502
1,71,4.235368,0.06448,0.93552
1,72,4.235656,0.06444,0.93556
1,73,4.234487,0.06496,0.93504
1,74,4.234541,0.06408,0.93592
1,75,4.233826,0.06506,0.93494
1,76,4.232883,0.06514,0.93486
1,77,4.232046,0.06548,0.93452
1,78,4.231745,0.06564,0.93436
1,79,4.231533,0.06566,0.93434
1,80,4.231052,0.0655,0.9345
1,81,4.228174,0.0658,0.9342
1,82,4.229274,0.0649,0.9351
1,83,4.229586,0.06526,0.93474
1,84,4.228322,0.06464,0.93536
1,85,4.22822,0.06624,0.93376
1,86,4.225937,0.06564,0.93436
1,87,4.225537,0.0654,0.9346
1,88,4.22649,0.06496,0.93504
1,89,4.226245,0.06556,0.93444
