"┌───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Modelo: DeepNN  |  dataset: MNIST(4000/1000) | data_augmentation: no | noise: 0.1 | batch_size: 128 | learning_rate: default  │
└───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
1,1000,2.3018665984272957,0.10675,0.89325
2,1000,2.3017691671848297,0.10675,0.89325
3,1000,1.505777183920145,0.3685,0.6315
4,1000,2.3016816154122353,0.106,0.894
5,1000,1.0391957722604275,0.67475,0.32525000000000004
6,1000,0.8470767997205257,0.76025,0.23975000000000002
7,1000,0.6312842229381204,0.84675,0.15325
8,1000,0.5129631040617824,0.87075,0.12924999999999998
9,1000,0.3637417578138411,0.9075,0.09250000000000003
10,1000,0.3597817779518664,0.9075,0.09250000000000003
11,1000,0.34575428697280586,0.906,0.09399999999999997
12,1000,0.3674968406558037,0.89375,0.10624999999999996
13,1000,0.3559182195458561,0.901,0.09899999999999998
14,1000,0.35207366943359375,0.899,0.10099999999999998
15,1000,0.1666351812891662,0.949,0.051000000000000045
16,1000,0.29857345670461655,0.91475,0.08525000000000005
17,1000,0.2894755923189223,0.92275,0.07725000000000004
18,1000,0.08287245308747515,0.97625,0.02375000000000005
19,1000,0.012811174310627393,0.9985,0.0014999999999999458
20,1000,0.097656543366611,0.9715,0.02849999999999997
21,1000,0.0032732989675423596,1.0,0.0
22,1000,0.07361321814823896,0.977,0.02300000000000002
23,1000,0.01885570602462394,0.9945,0.005499999999999949
24,1000,0.08806739369174466,0.9745,0.025499999999999967
25,1000,0.029956658952869475,0.99225,0.007750000000000035
26,1000,0.0007967740175445215,1.0,0.0
27,1000,0.006517347021144815,0.99975,0.00024999999999997247
28,1000,0.0002220092583229416,1.0,0.0
29,1000,0.004336155714554479,1.0,0.0
30,1000,0.189646877348423,0.943,0.05700000000000005
31,1000,0.0010563570003796485,1.0,0.0
32,1000,4.069036833698192e-05,1.0,0.0
33,1000,0.0009505561456535361,1.0,0.0
34,1000,0.0008248833501056652,1.0,0.0
35,1000,1.9540268031414953e-07,1.0,0.0
36,1000,0.00010318938143427658,1.0,0.0
37,1000,1.3096721290795088e-08,1.0,0.0
38,1000,2.380682346370122e-06,1.0,0.0
39,1000,3.022695912591189e-05,1.0,0.0
40,1000,3.8000542375016266e-06,1.0,0.0
41,1000,0.0005145588665982359,1.0,0.0
42,1000,8.884124147456873e-07,1.0,0.0
43,1000,3.125750300259078e-08,1.0,0.0
44,1000,2.2737090237257007e-06,1.0,0.0
45,1000,0.002443675955873914,1.0,0.0
46,1000,3.012245625155785e-08,1.0,0.0
47,1000,2.7881453687483848e-08,1.0,0.0
48,1000,8.897030551180407e-08,1.0,0.0
49,1000,5.849869109952888e-09,1.0,0.0
50,1000,6.565991427009976e-06,1.0,0.0
51,1000,0.2364918494131416,0.93475,0.06525000000000003
52,1000,1.979060318402226e-09,1.0,0.0
53,1000,3.5215630637269735e-09,1.0,0.0
54,1000,0.06533437216421589,0.9845,0.015499999999999958
55,1000,2.12457945854283e-09,1.0,0.0
56,1000,0.0006638450295213261,1.0,0.0
57,1000,3.463355359445419e-09,1.0,0.0
58,1000,2.450541712606391e-08,1.0,0.0
59,1000,0.0029891965768911177,1.0,0.0
60,1000,6.984918823893516e-10,1.0,0.0
61,1000,1.455191394467148e-09,1.0,0.0
62,1000,9.022186782392527e-10,1.0,0.0
63,1000,1.2805684446864918e-09,1.0,0.0
64,1000,0.0038860175300214905,0.99975,0.00024999999999997247
65,1000,3.492459411946758e-10,1.0,0.0
66,1000,3.5943206494470914e-08,1.0,0.0
67,1000,0.0005564140558362851,1.0,0.0
68,1000,0.00021432118671782519,1.0,0.0
69,1000,0.00648278903827304,0.99875,0.0012499999999999734
70,1000,0.04830349571420811,0.98525,0.01475000000000004
71,1000,0.005308730178512633,0.99975,0.00024999999999997247
72,1000,0.040498329675756395,0.99075,0.00924999999999998
73,1000,6.33824815281514e-05,1.0,0.0
74,1000,1.1641531488804091e-10,1.0,0.0
75,1000,0.000394069575278877,1.0,0.0
76,1000,3.201421159421125e-10,1.0,0.0
77,1000,0.009537886959151365,0.99825,0.0017500000000000293
78,1000,0.005525462056539254,0.999,0.0010000000000000009
79,1000,0.05693928129039705,0.98475,0.015249999999999986
80,1000,0.5986406840384007,0.847,0.15300000000000002
81,1000,3.850992891329952e-05,1.0,0.0
82,1000,1.1641531488804091e-10,1.0,0.0
83,1000,5.417064596713317e-05,1.0,0.0
84,1000,1.7462297233206137e-10,1.0,0.0
85,1000,0.0001996856057076002,1.0,0.0
86,1000,0.00020138508580203052,1.0,0.0
87,1000,0.00010942305658545592,1.0,0.0
88,1000,0.00020323783201092738,1.0,0.0
89,1000,0.0,1.0,0.0
90,1000,6.491136753083993e-05,1.0,0.0
91,1000,4.506144153992864e-05,1.0,0.0
92,1000,0.000389327749644508,1.0,0.0
93,1000,0.002003216259254259,0.99975,0.00024999999999997247
94,1000,4.279936442230792e-05,1.0,0.0
95,1000,4.42869932726353e-07,1.0,0.0
96,1000,1.0728331957921e-05,1.0,0.0
97,1000,0.001272778647035011,1.0,0.0
98,1000,1.536401996382608e-05,1.0,0.0
99,1000,5.004739028890981e-05,1.0,0.0
100,1000,0.0003689904655175269,1.0,0.0
