"┌────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Modelo: ResNet18 (PreActResNet, k=64)  |  dataset: CIFAR10 | data_augmentation: yes | noise: 0.2 | batch_size: 128 | learning_rate: default | epochs: 2000  │
└────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
64,1.0,1.7973,0.3834,0.6166
64,2.0,1.5213,0.518,0.482
64,3.0,1.391,0.5781,0.42190000000000005
64,4.0,1.2947,0.6217,0.37829999999999997
64,5.0,1.2255,0.6523,0.3477
64,6.0,1.1772,0.6732,0.3268
64,7.0,1.1339,0.6902,0.30979999999999996
64,8.0,1.1082,0.7009,0.29910000000000003
64,9.0,1.0731,0.7155,0.2845
64,10.0,1.0533,0.722,0.278
64,11.0,1.0306,0.7299,0.2701
64,12.0,1.0054,0.7407,0.2593
64,13.0,0.9883,0.745,0.255
64,14.0,0.9745,0.7507,0.24929999999999997
64,15.0,0.9532,0.757,0.243
64,16.0,0.9407,0.7612,0.2388
64,17.0,0.9221,0.7687,0.23129999999999995
64,18.0,0.9086,0.7715,0.22850000000000004
64,19.0,0.889,0.7787,0.22130000000000005
64,20.0,0.8769,0.7802,0.2198
64,21.0,0.8646,0.7836,0.21640000000000004
64,22.0,0.8486,0.788,0.21199999999999997
64,23.0,0.8316,0.7935,0.20650000000000002
64,24.0,0.8231,0.7945,0.20550000000000002
64,25.0,0.806,0.8008,0.19920000000000004
64,26.0,0.7878,0.8041,0.19589999999999996
64,27.0,0.7731,0.8069,0.19310000000000005
64,28.0,0.7621,0.8095,0.1905
64,29.0,0.7423,0.8148,0.18520000000000003
64,30.0,0.7303,0.8146,0.1854
64,31.0,0.7182,0.8174,0.18259999999999998
64,32.0,0.7014,0.8215,0.1785
64,33.0,0.6803,0.8268,0.17320000000000002
64,34.0,0.6683,0.8283,0.17169999999999996
64,35.0,0.6511,0.8308,0.16920000000000002
64,36.0,0.6347,0.8336,0.1664
64,37.0,0.6174,0.8384,0.16159999999999997
64,38.0,0.5981,0.8412,0.15880000000000005
64,39.0,0.5902,0.8419,0.15810000000000002
64,40.0,0.5686,0.8462,0.15380000000000005
64,41.0,0.5519,0.8506,0.14939999999999998
64,42.0,0.5374,0.8523,0.14770000000000005
64,43.0,0.5233,0.8548,0.1452
64,44.0,0.5076,0.8581,0.14190000000000003
64,45.0,0.4911,0.8617,0.13829999999999998
64,46.0,0.4771,0.865,0.135
64,47.0,0.4678,0.8653,0.13470000000000004
64,48.0,0.446,0.8696,0.13039999999999996
64,49.0,0.4341,0.8723,0.12770000000000004
64,50.0,0.4184,0.8749,0.1251
64,51.0,0.4046,0.8803,0.11970000000000003
64,52.0,0.3921,0.882,0.118
64,53.0,0.3763,0.8857,0.11429999999999996
64,54.0,0.3645,0.8888,0.11119999999999997
64,55.0,0.353,0.8909,0.10909999999999997
64,56.0,0.343,0.8942,0.1058
64,57.0,0.3243,0.8993,0.10070000000000001
64,58.0,0.3232,0.899,0.10099999999999998
64,59.0,0.3087,0.9018,0.09819999999999995
64,60.0,0.2972,0.9059,0.09409999999999996
64,61.0,0.2873,0.9084,0.09160000000000001
64,62.0,0.2831,0.9096,0.09040000000000004
64,63.0,0.2707,0.9127,0.08730000000000004
64,64.0,0.2587,0.9163,0.0837
64,65.0,0.2557,0.9174,0.0826
64,66.0,0.2501,0.9189,0.08109999999999995
64,67.0,0.2395,0.9219,0.07809999999999995
64,68.0,0.2335,0.9244,0.0756
64,69.0,0.2237,0.9266,0.07340000000000002
64,70.0,0.2199,0.9262,0.07379999999999998
64,71.0,0.2082,0.9317,0.06830000000000003
64,72.0,0.215,0.9299,0.07010000000000005
64,73.0,0.1998,0.9335,0.0665
