"┌─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Model: PreActResNet  |  dataset: CIFAR100(50000/10000) | data_augmentation: False | noise: 0.2 | batch_size: 256 | learning_rate: 0.001 | epochs: 100  │
└─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
1,1,4.598458,0.01642,0.98358
1,2,4.492742,0.0285,0.9715
1,3,4.396236,0.03826,0.96174
1,4,4.339469,0.04614,0.95386
1,5,4.307683,0.04992,0.95008
1,6,4.28172,0.05424,0.94576
1,7,4.262034,0.05744,0.94256
1,8,4.243013,0.0606,0.9394
1,9,4.222386,0.06472,0.93528
1,10,4.20296,0.068,0.9319999999999999
1,11,4.181832,0.07222,0.92778
1,12,4.16561,0.07698,0.92302
1,13,4.147101,0.0797,0.9203
1,14,4.130469,0.08332,0.9166799999999999
1,15,4.115222,0.08614,0.91386
1,16,4.101833,0.08758,0.91242
1,17,4.088531,0.09036,0.90964
1,18,4.077193,0.0926,0.9074
1,19,4.067564,0.0942,0.9057999999999999
1,20,4.05734,0.09694,0.90306
1,21,4.047343,0.09856,0.90144
1,22,4.037227,0.1009,0.8991
1,23,4.027925,0.10114,0.89886
1,24,4.022353,0.1039,0.8961
1,25,4.014024,0.10598,0.89402
1,26,4.006972,0.10692,0.89308
1,27,4.001304,0.10852,0.89148
1,28,3.9972,0.10862,0.8913800000000001
1,29,3.988957,0.11192,0.88808
1,30,3.984411,0.11276,0.88724
1,31,3.979689,0.11426,0.88574
1,32,3.97427,0.11472,0.88528
1,33,3.970884,0.11696,0.88304
1,34,3.965767,0.11648,0.88352
1,35,3.960791,0.11836,0.88164
1,36,3.958523,0.11806,0.88194
1,37,3.957678,0.11858,0.88142
1,38,3.953279,0.1208,0.8792
1,39,3.949608,0.12096,0.87904
1,40,3.947106,0.1218,0.8782
1,41,3.944771,0.1223,0.8777
1,42,3.941794,0.12198,0.87802
1,43,3.939333,0.12198,0.87802
1,44,3.935869,0.12358,0.87642
1,45,3.933797,0.124,0.876
1,46,3.931819,0.12448,0.87552
1,47,3.92865,0.12424,0.87576
1,48,3.928124,0.12544,0.87456
1,49,3.924888,0.12562,0.8743799999999999
1,50,3.924182,0.1259,0.8741
1,51,3.921815,0.12614,0.87386
1,52,3.91936,0.12744,0.87256
1,53,3.918917,0.12824,0.87176
1,54,3.91618,0.12874,0.87126
1,55,3.914153,0.12978,0.87022
1,56,3.913469,0.12886,0.87114
1,57,3.91321,0.1285,0.8714999999999999
1,58,3.909695,0.13002,0.86998
1,59,3.908609,0.1302,0.8698
1,60,3.907377,0.13112,0.86888
1,61,3.907355,0.13112,0.86888
1,62,3.904881,0.13024,0.86976
1,63,3.903797,0.1314,0.8686
1,64,3.90194,0.13092,0.86908
1,65,3.903032,0.13168,0.86832
1,66,3.900883,0.13214,0.86786
1,67,3.89881,0.13294,0.8670599999999999
1,68,3.900541,0.13162,0.86838
1,69,3.897544,0.13286,0.86714
1,70,3.897229,0.13314,0.86686
1,71,3.896145,0.13222,0.86778
1,72,3.894038,0.13316,0.86684
1,73,3.895423,0.13464,0.86536
1,74,3.893183,0.1346,0.8654
1,75,3.890314,0.13428,0.86572
1,76,3.892676,0.13302,0.86698
1,77,3.89278,0.1342,0.8658
1,78,3.889997,0.13458,0.86542
1,79,3.887662,0.13464,0.86536
1,80,3.888997,0.1354,0.8646
1,81,3.888297,0.1346,0.8654
1,82,3.886051,0.1364,0.8636
1,83,3.884725,0.13576,0.86424
1,84,3.886266,0.1345,0.8654999999999999
1,85,3.884991,0.13472,0.86528
1,86,3.88361,0.13634,0.86366
1,87,3.884872,0.13606,0.86394
1,88,3.882085,0.1369,0.8631
