"┌────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Model: PreActResNet  |  dataset: CIFAR100(50000/10000) | data_augmentation: True | noise: 0.2 | batch_size: 256 | learning_rate: 0.001 | epochs: 200  │
└────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
1,1,4.597799,0.01462,0.98538
1,2,4.500552,0.02828,0.97172
1,3,4.439634,0.03452,0.96548
1,4,4.396741,0.04148,0.95852
1,5,4.34827,0.04702,0.95298
1,6,4.302408,0.053,0.947
1,7,4.264636,0.06096,0.93904
1,8,4.238105,0.0652,0.9348
1,9,4.21344,0.07008,0.92992
1,10,4.191659,0.07468,0.92532
1,11,4.174424,0.0775,0.9225
1,12,4.156244,0.07968,0.92032
1,13,4.144709,0.08226,0.91774
1,14,4.132856,0.0835,0.9165
1,15,4.119952,0.08608,0.91392
1,16,4.109403,0.08872,0.91128
1,17,4.097789,0.09118,0.90882
1,18,4.089663,0.09082,0.90918
1,19,4.077921,0.09536,0.90464
1,20,4.068647,0.09652,0.9034800000000001
1,21,4.059792,0.09878,0.90122
1,22,4.052566,0.0997,0.9003
1,23,4.045966,0.10166,0.89834
1,24,4.037422,0.1032,0.8968
1,25,4.03048,0.10406,0.89594
1,26,4.026301,0.10562,0.89438
1,27,4.018846,0.10706,0.89294
1,28,4.016148,0.10702,0.89298
1,29,4.008832,0.1101,0.8899
1,30,4.002021,0.11146,0.88854
1,31,3.997415,0.112,0.888
1,32,3.990805,0.114,0.886
1,33,3.986558,0.11414,0.88586
1,34,3.984028,0.11584,0.8841600000000001
1,35,3.976738,0.11652,0.88348
1,36,3.973992,0.11672,0.88328
1,37,3.970199,0.11596,0.88404
1,38,3.966896,0.11656,0.88344
1,39,3.962539,0.11814,0.88186
1,40,3.9587,0.11888,0.88112
1,41,3.954395,0.11988,0.88012
1,42,3.949087,0.1211,0.8789
1,43,3.948109,0.12066,0.87934
1,44,3.946174,0.12176,0.87824
1,45,3.94166,0.1218,0.8782
1,46,3.939251,0.1223,0.8777
1,47,3.938751,0.12278,0.87722
1,48,3.934182,0.12362,0.87638
1,49,3.932095,0.12368,0.87632
1,50,3.929928,0.12508,0.87492
1,51,3.927913,0.12502,0.87498
1,52,3.92552,0.12592,0.87408
1,53,3.923635,0.12536,0.87464
1,54,3.921763,0.12578,0.87422
1,55,3.919562,0.12568,0.87432
1,56,3.918641,0.12692,0.87308
1,57,3.914975,0.12706,0.87294
1,58,3.915014,0.12818,0.87182
1,59,3.910459,0.12902,0.87098
1,60,3.909192,0.12798,0.87202
1,61,3.909091,0.1285,0.8714999999999999
1,62,3.904749,0.12958,0.87042
1,63,3.903925,0.13034,0.86966
1,64,3.903107,0.1295,0.8705
1,65,3.900838,0.13086,0.86914
1,66,3.900727,0.13006,0.8699399999999999
1,67,3.89663,0.13088,0.86912
1,68,3.896283,0.1316,0.8684000000000001
1,69,3.896576,0.13136,0.86864
1,70,3.894583,0.13178,0.86822
1,71,3.891893,0.13168,0.86832
1,72,3.890112,0.13292,0.86708
1,73,3.888984,0.1331,0.8669
1,74,3.888986,0.1342,0.8658
1,75,3.886346,0.13358,0.86642
1,76,3.884154,0.13378,0.86622
1,77,3.883315,0.13416,0.8658399999999999
1,78,3.880263,0.13518,0.86482
1,79,3.880587,0.13454,0.86546
1,80,3.880101,0.13544,0.86456
1,81,3.879885,0.13454,0.86546
1,82,3.876495,0.13586,0.86414
1,83,3.877098,0.13472,0.86528
1,84,3.874479,0.13562,0.86438
1,85,3.874494,0.13614,0.86386
1,86,3.87307,0.13624,0.86376
1,87,3.872519,0.13498,0.86502
1,88,3.870858,0.13578,0.86422
