"┌───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Model: PreActResNet  |  dataset: CIFAR10(25000/5000) | data_augmentation: False | noise: 0.2 | batch_size: 256 | learning_rate: 0.001 | epochs: 100  │
└───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
1,1,2.26731,0.15196,0.84804
1,2,2.133659,0.22124,0.77876
1,3,2.065197,0.24328,0.7567200000000001
1,4,2.035246,0.26412,0.73588
1,5,2.014963,0.2726,0.7274
1,6,1.994252,0.2856,0.7143999999999999
1,7,1.979725,0.29484,0.70516
1,8,1.966962,0.3016,0.6984
1,9,1.961257,0.30472,0.69528
1,10,1.952451,0.30984,0.69016
1,11,1.942445,0.3154,0.6846
1,12,1.934464,0.3168,0.6832
1,13,1.930157,0.32076,0.6792400000000001
1,14,1.921529,0.32616,0.67384
1,15,1.913152,0.32984,0.67016
1,16,1.908163,0.3332,0.6668000000000001
1,17,1.902436,0.3356,0.6644
1,18,1.898584,0.3358,0.6642
1,19,1.892437,0.34044,0.6595599999999999
1,20,1.889771,0.34052,0.6594800000000001
1,21,1.885561,0.34236,0.65764
1,22,1.881908,0.3454,0.6546000000000001
1,23,1.877575,0.34516,0.65484
1,24,1.874982,0.34836,0.65164
1,25,1.871763,0.35104,0.64896
1,26,1.869084,0.35028,0.6497200000000001
1,27,1.866005,0.353,0.647
1,28,1.862623,0.35448,0.64552
1,29,1.860499,0.35456,0.64544
1,30,1.859198,0.3586,0.6414
1,31,1.856002,0.35924,0.64076
1,32,1.84932,0.36368,0.63632
1,33,1.849086,0.36128,0.63872
1,34,1.84785,0.36408,0.63592
1,35,1.843841,0.36456,0.63544
1,36,1.841775,0.36824,0.63176
1,37,1.841212,0.36484,0.63516
1,38,1.837695,0.36832,0.63168
1,39,1.836478,0.37116,0.6288400000000001
1,40,1.8323,0.37004,0.6299600000000001
1,41,1.832475,0.36856,0.63144
1,42,1.830306,0.37252,0.62748
1,43,1.828842,0.3734,0.6266
1,44,1.828986,0.37244,0.62756
1,45,1.825088,0.37724,0.62276
1,46,1.825296,0.37416,0.62584
1,47,1.82236,0.37504,0.62496
1,48,1.82092,0.37384,0.62616
1,49,1.8175,0.3816,0.6184000000000001
1,50,1.817796,0.37796,0.6220399999999999
1,51,1.81439,0.38072,0.61928
1,52,1.81383,0.38096,0.61904
1,53,1.814828,0.37936,0.6206400000000001
1,54,1.813465,0.38076,0.61924
1,55,1.810786,0.38124,0.61876
1,56,1.807113,0.3846,0.6154
1,57,1.808308,0.38164,0.61836
1,58,1.808019,0.38388,0.61612
1,59,1.806545,0.38572,0.6142799999999999
1,60,1.803984,0.3882,0.6118
1,61,1.802336,0.38644,0.61356
1,62,1.801521,0.38528,0.6147199999999999
1,63,1.797988,0.38824,0.6117600000000001
1,64,1.800277,0.39,0.61
1,65,1.798356,0.39016,0.6098399999999999
1,66,1.797142,0.38956,0.61044
1,67,1.79459,0.3894,0.6106
1,68,1.795385,0.39272,0.60728
1,69,1.796161,0.38888,0.61112
1,70,1.793387,0.3938,0.6062000000000001
1,71,1.790215,0.39156,0.60844
1,72,1.78801,0.39124,0.60876
1,73,1.790157,0.39388,0.60612
1,74,1.787903,0.3914,0.6086
1,75,1.787808,0.39396,0.60604
1,76,1.785725,0.39648,0.6035200000000001
1,77,1.785647,0.39372,0.6062799999999999
1,78,1.784282,0.392,0.608
1,79,1.781909,0.39528,0.6047199999999999
1,80,1.783129,0.39528,0.6047199999999999
1,81,1.780648,0.39592,0.60408
1,82,1.780787,0.39596,0.60404
1,83,1.777515,0.39664,0.60336
1,84,1.778099,0.39732,0.60268
1,85,1.777634,0.397,0.603
