"┌───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Model: PreActResNet  |  dataset: CIFAR10(50000/10000) | data_augmentation: True | noise: 0.2 | batch_size: 256 | learning_rate: 0.001 | epochs: 200  │
└───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
1,1,2.210906,0.16522,0.83478
1,2,2.096569,0.23208,0.7679199999999999
1,3,2.038721,0.26494,0.73506
1,4,1.996359,0.28494,0.71506
1,5,1.966532,0.30282,0.69718
1,6,1.940842,0.31782,0.68218
1,7,1.920228,0.32994,0.67006
1,8,1.904919,0.33676,0.66324
1,9,1.889572,0.34558,0.65442
1,10,1.877732,0.35394,0.6460600000000001
1,11,1.86524,0.36096,0.63904
1,12,1.852783,0.3657,0.6343
1,13,1.846368,0.37402,0.62598
1,14,1.836147,0.37846,0.62154
1,15,1.827892,0.38204,0.6179600000000001
1,16,1.819189,0.3892,0.6108
1,17,1.814562,0.39116,0.60884
1,18,1.805303,0.3939,0.6061000000000001
1,19,1.79728,0.39722,0.60278
1,20,1.791646,0.40334,0.59666
1,21,1.786388,0.40478,0.5952200000000001
1,22,1.782458,0.40668,0.5933200000000001
1,23,1.778512,0.40906,0.59094
1,24,1.7728,0.41084,0.58916
1,25,1.767919,0.41298,0.58702
1,26,1.765892,0.41432,0.58568
1,27,1.761886,0.41624,0.5837600000000001
1,28,1.75831,0.41956,0.5804400000000001
1,29,1.7539,0.4206,0.5794
1,30,1.752327,0.421,0.579
1,31,1.749965,0.42306,0.57694
1,32,1.74755,0.42418,0.57582
1,33,1.746085,0.42472,0.57528
1,34,1.744248,0.42434,0.5756600000000001
1,35,1.742596,0.4255,0.5745
1,36,1.738978,0.42662,0.57338
1,37,1.73631,0.42958,0.5704199999999999
1,38,1.734273,0.43028,0.56972
1,39,1.734685,0.42976,0.5702400000000001
1,40,1.731682,0.43034,0.56966
1,41,1.729879,0.43072,0.56928
1,42,1.727893,0.43262,0.56738
1,43,1.72588,0.43216,0.56784
1,44,1.726013,0.43254,0.5674600000000001
1,45,1.725231,0.43482,0.56518
1,46,1.721053,0.43564,0.56436
1,47,1.721121,0.43548,0.56452
1,48,1.719779,0.43556,0.56444
1,49,1.719064,0.43622,0.56378
1,50,1.717818,0.43786,0.56214
1,51,1.716678,0.43838,0.56162
1,52,1.713393,0.43994,0.56006
1,53,1.712693,0.439,0.5609999999999999
1,54,1.712469,0.43972,0.56028
1,55,1.710061,0.44058,0.55942
1,56,1.709428,0.44204,0.55796
1,57,1.707852,0.44112,0.55888
1,58,1.70625,0.44374,0.55626
1,59,1.705985,0.44318,0.55682
1,60,1.704533,0.44338,0.55662
1,61,1.7045,0.44444,0.55556
1,62,1.702207,0.44304,0.55696
1,63,1.703334,0.44658,0.55342
1,64,1.69992,0.44718,0.55282
1,65,1.699898,0.44636,0.55364
1,66,1.698866,0.44816,0.55184
1,67,1.697144,0.44846,0.5515399999999999
1,68,1.696558,0.44776,0.5522400000000001
1,69,1.694457,0.44932,0.5506800000000001
1,70,1.693617,0.44872,0.55128
1,71,1.692419,0.44928,0.55072
1,72,1.690373,0.44914,0.55086
1,73,1.692243,0.45046,0.5495399999999999
1,74,1.689451,0.45046,0.5495399999999999
1,75,1.691029,0.45098,0.5490200000000001
1,76,1.689605,0.45056,0.5494399999999999
1,77,1.689033,0.45168,0.5483199999999999
1,78,1.688352,0.45018,0.54982
1,79,1.687799,0.45148,0.54852
1,80,1.687126,0.45246,0.54754
1,81,1.687011,0.45118,0.54882
1,82,1.686784,0.45164,0.54836
1,83,1.683562,0.45272,0.54728
1,84,1.684797,0.45246,0.54754
1,85,1.683698,0.45292,0.54708
