"┌──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Model: PreActResNet  |  dataset: MNIST(60000/10000) | data_augmentation: False | noise: 0.1 | batch_size: 256 | learning_rate: 0.001 | epochs: 200  │
└──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
1,1,1.76823,0.397733,0.602267
1,2,1.034304,0.7512,0.24880000000000002
1,3,0.870353,0.813883,0.18611699999999998
1,4,0.79155,0.83645,0.16354999999999997
1,5,0.748826,0.848867,0.15113299999999996
1,6,0.727979,0.85375,0.14625
1,7,0.713935,0.857667,0.14233300000000004
1,8,0.703713,0.859517,0.14048300000000002
1,9,0.696761,0.862367,0.137633
1,10,0.691753,0.863233,0.13676699999999997
1,11,0.684907,0.86515,0.13485000000000003
1,12,0.681234,0.866017,0.13398299999999996
1,13,0.677836,0.867,0.133
1,14,0.675007,0.867017,0.13298299999999996
1,15,0.672015,0.8684,0.13160000000000005
1,16,0.667628,0.869933,0.13006700000000004
1,17,0.664208,0.870367,0.129633
1,18,0.660261,0.871233,0.12876699999999996
1,19,0.658726,0.8711,0.12890000000000001
1,20,0.656536,0.87235,0.12765000000000004
1,21,0.652539,0.872683,0.127317
1,22,0.651474,0.873367,0.126633
1,23,0.648957,0.873467,0.126533
1,24,0.646682,0.874133,0.12586699999999995
1,25,0.645158,0.8746,0.12539999999999996
1,26,0.642504,0.8746,0.12539999999999996
1,27,0.642019,0.874833,0.12516700000000003
1,28,0.639234,0.875383,0.12461699999999998
1,29,0.63878,0.876117,0.12388299999999997
1,30,0.638456,0.876083,0.12391700000000005
1,31,0.636084,0.876017,0.12398299999999995
1,32,0.634173,0.876517,0.12348300000000001
1,33,0.63438,0.875883,0.12411700000000003
1,34,0.633763,0.87715,0.12285000000000001
1,35,0.631491,0.877,0.123
1,36,0.631637,0.877,0.123
1,37,0.62878,0.87765,0.12234999999999996
1,38,0.629463,0.877233,0.12276699999999996
1,39,0.627607,0.877583,0.122417
1,40,0.626432,0.87805,0.12195
1,41,0.626834,0.877983,0.12201700000000004
1,42,0.62558,0.878483,0.12151699999999999
1,43,0.624719,0.878817,0.12118300000000004
1,44,0.625628,0.878367,0.12163299999999999
1,45,0.623726,0.878567,0.12143300000000001
1,46,0.622306,0.879233,0.12076699999999996
1,47,0.622024,0.878867,0.12113300000000005
1,48,0.623313,0.879433,0.12056699999999998
1,49,0.622824,0.879133,0.12086699999999995
1,50,0.619365,0.87925,0.12075000000000002
1,51,0.620759,0.8799,0.12009999999999998
1,52,0.619294,0.879533,0.12046699999999999
1,53,0.619148,0.879283,0.12071699999999996
1,54,0.61727,0.879483,0.12051699999999999
1,55,0.617329,0.88015,0.11985000000000001
1,56,0.616323,0.880417,0.119583
1,57,0.617925,0.879717,0.12028300000000003
1,58,0.616113,0.880683,0.119317
1,59,0.615657,0.880183,0.11981699999999995
1,60,0.615241,0.880483,0.11951699999999998
1,61,0.616031,0.8803,0.11970000000000003
1,62,0.614774,0.88015,0.11985000000000001
1,63,0.615044,0.88005,0.11995
1,64,0.614451,0.8801,0.1199
1,65,0.612976,0.880833,0.11916700000000002
1,66,0.613892,0.880517,0.119483
1,67,0.612424,0.88045,0.11955000000000005
1,68,0.612957,0.880967,0.11903300000000006
1,69,0.612365,0.8808,0.11919999999999997
1,70,0.610859,0.881467,0.118533
1,71,0.611406,0.8813,0.11870000000000003
1,72,0.610785,0.881317,0.11868299999999998
1,73,0.611738,0.8812,0.11880000000000002
1,74,0.611528,0.881083,0.11891700000000005
1,75,0.610224,0.8814,0.11860000000000004
1,76,0.609742,0.881267,0.11873299999999998
1,77,0.609153,0.88155,0.11845000000000006
