"┌────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Modelo: ResNet18 (k=64)  |  dataset: CIFAR10 | data_augmentation: no | noise: 0.2 | batch_size: 128 | learning_rate: default | epochs: 2000  │
└────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────┘"

units,epochs,train_loss,train_accuracy,train_error
64,1,1.9445,0.3333,0.6667000000000001
64,2,1.6737,0.4508,0.5492
64,3,1.4887,0.5213,0.4787
64,4,1.2815,0.5906,0.4094
64,5,1.0313,0.6728,0.32720000000000005
64,6,0.7535,0.7592,0.24080000000000001
64,7,0.4798,0.8492,0.15080000000000005
64,8,0.3174,0.9003,0.09970000000000001
64,9,0.2275,0.9285,0.07150000000000001
64,10,0.1949,0.9362,0.06379999999999997
64,11,0.1705,0.9441,0.05589999999999995
64,12,0.1596,0.947,0.05300000000000005
64,13,0.1588,0.9468,0.053200000000000025
64,14,0.1434,0.9517,0.04830000000000001
64,15,0.1312,0.9561,0.04390000000000005
64,16,0.1095,0.9642,0.035800000000000054
64,17,0.12,0.9598,0.040200000000000014
64,18,0.1357,0.9541,0.04590000000000005
64,19,0.1104,0.9644,0.035599999999999965
64,20,0.0814,0.9739,0.026100000000000012
64,21,0.1027,0.9644,0.035599999999999965
64,22,0.1273,0.9561,0.04390000000000005
64,23,0.1031,0.9649,0.03510000000000002
64,24,0.0769,0.9737,0.02629999999999999
64,25,0.0794,0.9729,0.027100000000000013
64,26,0.0957,0.9678,0.032200000000000006
64,27,0.0986,0.9654,0.034599999999999964
64,28,0.0867,0.9704,0.02959999999999996
64,29,0.0866,0.9698,0.030200000000000005
64,30,0.079,0.9735,0.026499999999999968
64,31,0.0741,0.9744,0.025599999999999956
64,32,0.0749,0.9747,0.02529999999999999
64,33,0.0889,0.9691,0.03090000000000004
64,34,0.0686,0.9769,0.02310000000000001
64,35,0.0692,0.9765,0.023499999999999965
64,36,0.0736,0.9758,0.0242
64,37,0.0784,0.9743,0.025699999999999945
64,38,0.0711,0.976,0.02400000000000002
64,39,0.0657,0.9772,0.022800000000000042
64,40,0.0728,0.975,0.025000000000000022
64,41,0.0636,0.9776,0.022399999999999975
64,42,0.069,0.9771,0.02290000000000003
64,43,0.06,0.9793,0.02070000000000005
64,44,0.0634,0.9788,0.021199999999999997
64,45,0.0701,0.9763,0.023700000000000054
64,46,0.0603,0.9797,0.020299999999999985
64,47,0.0496,0.9834,0.016599999999999948
64,48,0.051,0.9826,0.01739999999999997
64,49,0.065,0.9777,0.022299999999999986
64,50,0.0748,0.9748,0.0252
64,51,0.0582,0.9802,0.01980000000000004
64,52,0.0546,0.9813,0.01870000000000005
64,53,0.0476,0.9835,0.01649999999999996
64,54,0.05,0.9838,0.016199999999999992
64,55,0.0642,0.9783,0.021700000000000053
64,56,0.0655,0.9774,0.022599999999999953
64,57,0.0481,0.9836,0.01639999999999997
64,58,0.0502,0.9822,0.017800000000000038
64,59,0.0437,0.9849,0.015100000000000002
64,60,0.0536,0.9819,0.018100000000000005
64,61,0.0453,0.9853,0.014700000000000046
64,62,0.0525,0.982,0.018000000000000016
64,63,0.05,0.9831,0.016900000000000026
64,64,0.0438,0.9847,0.01529999999999998
64,65,0.0533,0.9816,0.018399999999999972
64,66,0.0548,0.9818,0.018199999999999994
64,67,0.0434,0.9853,0.014700000000000046
64,68,0.0408,0.9861,0.013900000000000023
64,69,0.047,0.9843,0.015700000000000047
64,70,0.0597,0.9801,0.01990000000000003
64,71,0.0396,0.9871,0.012900000000000023
64,72,0.0361,0.9884,0.011600000000000055
64,73,0.0477,0.9837,0.01629999999999998
64,74,0.0617,0.9793,0.02070000000000005
64,75,0.0392,0.9869,0.0131
64,76,0.0291,0.9904,0.009600000000000053
