units,epoch,train_loss,train_accuracy
1,1000,2.1397576332092285,0.17375
2,1000,1.9873991385102272,0.258
3,1000,1.7937330305576324,0.42425
4,1000,1.5822070315480232,0.5825
5,1000,1.4958147332072258,0.662
6,1000,1.4577669724822044,0.67925
7,1000,1.4387114197015762,0.71
8,1000,1.4259089529514313,0.7075
9,1000,1.4254025369882584,0.70975
10,1000,1.4300542324781418,0.705
11,1000,1.4254106283187866,0.707
12,1000,1.4276245683431625,0.70175
13,1000,1.4300402775406837,0.7055
14,1000,1.4260792061686516,0.7055
15,1000,1.4297935143113136,0.68775
16,1000,1.4305403158068657,0.703
17,1000,1.4310158118605614,0.698
18,1000,1.4265906289219856,0.69525
19,1000,1.4351820349693298,0.6915
20,1000,1.4278630688786507,0.7105
21,1000,1.4364100694656372,0.6805
22,1000,1.4256384447216988,0.71
23,1000,1.430120013654232,0.706
24,1000,1.4298695102334023,0.70725
25,1000,1.4281619191169739,0.696
26,1000,1.4291622936725616,0.7125
27,1000,1.4276911094784737,0.70825
28,1000,1.4238210320472717,0.70875
29,1000,1.430105373263359,0.69325
30,1000,1.4275505989789963,0.714
31,1000,1.4253827929496765,0.70225
32,1000,1.4298014715313911,0.71125
33,1000,1.4212718605995178,0.7095
34,1000,1.42619226872921,0.71175
35,1000,1.4280616790056229,0.697
36,1000,1.4308633729815483,0.70625
37,1000,1.4315453171730042,0.71325
38,1000,1.4294592961668968,0.7065
39,1000,1.429250180721283,0.712
40,1000,1.4303342625498772,0.6965
41,1000,1.4267144352197647,0.70825
42,1000,1.4253319054841995,0.703
43,1000,1.432564415037632,0.68875
44,1000,1.4254663959145546,0.70875
45,1000,1.4226204752922058,0.7005
46,1000,1.4261478930711746,0.698
47,1000,1.4289744421839714,0.699
48,1000,1.4296986013650894,0.69625
49,1000,1.4300736337900162,0.705
50,1000,1.427996776998043,0.702
51,1000,1.4297486245632172,0.705
52,1000,1.425808995962143,0.70425
53,1000,1.4357271566987038,0.6985
54,1000,1.4290826171636581,0.7025
55,1000,1.4270152524113655,0.7075
56,1000,1.4284480065107346,0.70875
57,1000,1.4283619076013565,0.70425
58,1000,1.4257700964808464,0.71425
59,1000,1.425029568374157,0.694
60,1000,1.4292421787977219,0.70625
61,1000,1.42815500497818,0.696
62,1000,1.4244235903024673,0.7105
63,1000,1.4276777133345604,0.69075
64,1000,1.4268227145075798,0.7025
65,1000,1.430550254881382,0.7135
66,1000,1.4260067492723465,0.7145
67,1000,1.4326400309801102,0.7005
68,1000,1.4379643574357033,0.70625
69,1000,1.4313882440328598,0.71775
70,1000,1.431220330297947,0.708
71,1000,1.42401771992445,0.70475
72,1000,1.429544746875763,0.70675
73,1000,1.4282024651765823,0.7105
74,1000,1.4263985231518745,0.7
75,1000,1.4267120212316513,0.71075
76,1000,1.4340481832623482,0.70725
77,1000,1.4282575771212578,0.70375
78,1000,1.4270360246300697,0.713
79,1000,1.4248525649309158,0.7085
80,1000,1.434457540512085,0.7075
81,1000,1.4262848049402237,0.70775
82,1000,1.4298880770802498,0.7015
83,1000,1.429695799946785,0.71475
84,1000,1.4317053109407425,0.68975
85,1000,1.4292320683598518,0.71025
86,1000,1.4281956851482391,0.6995
87,1000,1.432202309370041,0.71125
88,1000,1.4275128990411758,0.706
89,1000,1.4287253245711327,0.71525
90,1000,1.4271472543478012,0.699
91,1000,1.4323788359761238,0.71
92,1000,1.426189310848713,0.70175
93,1000,1.4302154704928398,0.68575
94,1000,1.4313103929162025,0.714
95,1000,1.4325803220272064,0.70775
96,1000,1.4275538325309753,0.70575
97,1000,1.4266759604215622,0.70475
98,1000,1.4281769171357155,0.715
99,1000,1.4286544173955917,0.69525
100,1000,1.4327350780367851,0.6935

"La ejecución ha durado 30 hora(s), 13 minuto(s) y 17 segundo(s)."
