model_dimension,epoch,train_loss,train_accuracy
1,25,2.0585,0.2184
2,25,1.8474,0.3171
3,25,1.7158,0.3614
4,25,1.6379,0.3951
5,25,1.5691,0.4223
6,25,1.5172,0.4429
7,25,1.4665,0.4639
8,25,1.4068,0.4891
9,25,1.3721,0.4999
10,25,1.3332,0.5173
11,25,1.2886,0.5352
12,25,1.2682,0.5427
13,25,1.2204,0.5626
14,25,1.2039,0.5703
15,25,1.1837,0.5766
16,25,1.1609,0.5837
17,25,1.1378,0.5925
18,25,1.0901,0.61
19,25,1.0704,0.6178
20,25,1.0512,0.6271
21,25,1.0354,0.6281
22,25,1.0075,0.6417
23,25,0.971,0.6544
24,25,0.953,0.6611
25,25,0.9276,0.6692
26,25,0.9149,0.673
27,25,0.906,0.6795
28,25,0.9086,0.6752
29,25,0.8617,0.6928
30,25,0.8772,0.6848
31,25,0.8618,0.6922
32,25,0.8388,0.7011
33,25,0.8204,0.7077
34,25,0.8018,0.7139
35,25,0.7867,0.7186
36,25,0.7896,0.7217
37,25,0.7828,0.7209
38,25,0.772,0.7268
39,25,0.7636,0.7278
40,25,0.7425,0.7343
41,25,0.7411,0.7365
42,25,0.7404,0.7356
43,25,0.7125,0.7451
44,25,0.7032,0.7474
45,25,0.709,0.7477
46,25,0.6924,0.7535
47,25,0.6863,0.7561
48,25,0.6799,0.7573
49,25,0.666,0.7629
50,25,0.6702,0.7617
51,25,0.6538,0.7656
52,25,0.6563,0.7668
53,25,0.6468,0.7702
54,25,0.637,0.7721
55,25,0.6319,0.7737
56,25,0.6282,0.7747
57,25,0.6144,0.782
58,25,0.6105,0.7831
59,25,0.5971,0.7875
60,25,0.5967,0.7892
61,25,0.5968,0.7876
62,25,0.59,0.7897
63,25,0.5914,0.788
64,25,0.5779,0.7942
