model_dimension,epoch,train_loss,train_accuracy
1,25,2.1849,0.1767
2,25,2.0553,0.2593
3,25,1.9785,0.2985
4,25,1.9407,0.3137
5,25,1.9041,0.3338
6,25,1.8702,0.3544
7,25,1.8381,0.3697
8,25,1.8057,0.3891
9,25,1.779,0.3995
10,25,1.7663,0.4069
11,25,1.7422,0.4201
12,25,1.7339,0.4241
13,25,1.7085,0.4356
14,25,1.6895,0.4458
15,25,1.6887,0.447
16,25,1.6682,0.4579
17,25,1.6524,0.4622
18,25,1.6339,0.4733
19,25,1.6213,0.4777
20,25,1.6081,0.4842
21,25,1.5984,0.4875
22,25,1.5853,0.494
23,25,1.5697,0.5005
24,25,1.551,0.5087
25,25,1.5374,0.517
26,25,1.5327,0.5175
27,25,1.5224,0.5245
28,25,1.527,0.521
29,25,1.5048,0.5302
30,25,1.4963,0.5312
31,25,1.4986,0.5308
32,25,1.482,0.5403
33,25,1.4676,0.5462
34,25,1.456,0.5499
35,25,1.4414,0.5573
36,25,1.4502,0.5526
37,25,1.4428,0.5574
38,25,1.4297,0.5631
39,25,1.426,0.5626
40,25,1.4198,0.5679
41,25,1.4147,0.5674
42,25,1.4064,0.5704
43,25,1.3946,0.575
44,25,1.3859,0.5797
45,25,1.3887,0.5787
46,25,1.3824,0.5802
47,25,1.3732,0.5843
48,25,1.3779,0.5825
49,25,1.359,0.5891
50,25,1.3662,0.5881
51,25,1.3559,0.594
52,25,1.354,0.5923
53,25,1.3469,0.5938
54,25,1.3398,0.5992
55,25,1.3403,0.5974
56,25,1.3316,0.6008
57,25,1.3222,0.6063
58,25,1.3217,0.6064
59,25,1.3134,0.6076
60,25,1.3,0.6114
61,25,1.3084,0.6098
62,25,1.2998,0.6109
63,25,1.3017,0.6128
64,25,1.3015,0.6143
